,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0
4387,4387.0,o sea si m gustas pero me hartas un chingo :)),1,0,0,
4250,4250.0,@acruxqxn ora si la cague veda,1,0,0,
273,,"@m_ebrard canciller, acabo de ver estas pipas en periférico norte, ¿son las pipas de gasolina para arreglar el desabasto de hace 4 años ocasionando por el huachicol? ¿Ya llegaron de EEUU? ¿Se siguen esperando a pesar de haberse debitado del presupuesto ? https://t.co/YdTMVi4mL3",0,0,0,273.0
693,,"La prueba contundente de que el aficionado Chiva es puro viejo de 60 años y más jajajajajaja, abusan de pendejos. https://t.co/VdQofidskq",1,0,1,693.0
1792,,"@SancadillaNorte Que lástima por este bato....parece q levanta su nivel y vuelve a cometer errores puntuales, ni porq el piojo le da prioridad se aliviana...es una lástima yo lo seguía desde la Real Sociedad de España y era baluarte. pero ese nivel se acabó hace años.",0,0,0,1792.0
5367,,"@latinus_us @vampipe Por dignidad debería de renunciar, aun que en morena carecen de esta",0,0,0,5367.0
3031,,"Ya muchas vacaciones se dio mi cerebro, ya trabaja por favor!!!!",0,0,0,3031.0
2466,2466.0,Señores que me piden no ser monotematico. https://t.co/xsFf5VrKMf,0,0,0,
2038,2038.0,"-¡miradlo en la lenteja del reloj,",0,0,0,
2336,,"@Juan_OrtizMX ¡A como dé lugar quieren imponerse! 😠
@SenadoresdelPAN @SenadoresPRD @SenadoPRI",0,0,0,2336.0
2445,,"@AndiUchiha5 @EdreiCCB @winshifter persoooooooooooooonalmente no me gustan los ORMs perooo acepto su uso 😅
es queee me pasa que cuando es large data, siiiiempre los ORMs se la andan pellizando!! D:
y he tenido la ""suerte"" de que los usuarios piden paginas con muuuy large data SIN paginacion como cavernicolas u_u",0,0,0,2445.0
1705,,Mi cara de lluvia 😳 https://t.co/u4qpmUhVc0,0,0,0,1705.0
3558,,@martibatres ¿En verdad usas el discurso del presidente para hacerte notar? Se más original 😒 la CDMX no es Oaxaca ni Chiapas y los más que vas a lograr es ser el gato de alguien mas 😆 https://t.co/kKaUDAr6Gt,0,0,1,3558.0
256,,"wtf, agosto duró mil años y septiembre nos está metiendo 6 días en 3 segundos",0,0,0,256.0
5990,,"Tengo una ex amiga que es neta la persona mas hipócrita que existe, que miedo",0,0,1,5990.0
4499,4499.0,@vilIa__ @Abel_Prz_ El que me permita ponerme del copón,0,0,0,
2160,2160.0,@Alphons78537503 @LayBb_ @Montserrat4T Pues sigue sin entender.  Lo que dice esta ignorante es que si considero yo a una persona malandra entonces esta bien que le cobre la factura que me debe.  Por el estado no hay tos.  Que aplique mi cobranza a como yo quiera.  ¿ Y la ley apa? ¿ Y la autoridad apa? Analize y piense,0,0,1,
1101,1101.0,"@curiche_javier Ups perdón es mi forma de hablar pero es con aprecio ok, excelente sábado.. https://t.co/SS4XbIDgvL",0,0,0,
291,291.0,"Bueno, parece que hay bodorrio miren @frankdanilo27 @LilyF24 @espinaldinora91 @E_Lain04 @Monkeysupremo3 @GatoEnojon2 @elmukito07 @Julio7800942207 @PotrodelaNoche se nos casa Anita 👰‍♀️🤵‍♂️finalmente Rafa la conquistó 💅 https://t.co/MLNDcdcIsb",0,0,0,
1292,,"@dominosita Comparto tu forma de ver las cosas, yo creo que sí llego a tener un hijo sale mejor que lo eduque yo integralmente a que lo eduquen en colegios que aunque garanticen seguridad, planta física, actividades, etcétera, no van a garantizar excelencia académica.",0,0,0,1292.0
2437,2437.0,@lubrio Super Mongólico debería llamarse ese Mamotreto,0,0,1,
2089,2089.0,@diego_longo_ Yo si me atasqué,0,0,0,
3239,3239.0,@bordaplus @ikings80 @PelonGomis Sigue corriendo porque la realidad te está alcanzando. Solo recuerda que la historia de Forrest Gump es fantasía y el solo era un retardado mental.,0,0,0,
2002,2002.0,"@LDRHQ Y lana del Rey tiene lana
U si tiene lana es de borrego
O es lana de dinero?
Misterio sin resolverssssssss.",0,0,0,
5282,,"Ay numames se mamoooo

Btw que perra imagen ehh https://t.co/R9E6HHZHgG",1,0,0,5282.0
903,903.0,"@Richpaloscuates @FelipeCalderon Mira fulano la vida se vive hoy, tú vives del pasado.
La 4T gobierna hoy y prometió seguridad y terminar con la violencia ¿donde estamos chupóptero?",0,0,0,
1874,1874.0,@jrsestaca Tranquilo niñote  canoso tu crees que sabes todo y solo eres un infantiloide mam0n que se cree cómico y analista y que lo que pone vale pura brga...,1,1,1,
2880,,"@AlexMonroy4e Yo que tú me voy a Venezuela o Cuba donde todos siguen e idolatran un modelo sin pies ni cabeza! Seguro ahí les gusta lo poquitito, lo mezquino, lo mal hecho y lo conformista. Ahí te sentirás mejor.",0,0,1,2880.0
5028,,"Los perfeccionistas cuidan que su carro esté siempre en perfecto estado, para ellos también está GENAuto de Aseguradora General, el seguro para todo tipo de conductor con todo el respaldo, sin excusas. Cotiza al PBX: 1757.
#TodoElRespaldo #TiposDeConductores #GENAuto https://t.co/4MNX3BGzAw",0,0,0,5028.0
4515,4515.0,"@FreshSack @Mundonuevo100 @messi10_rey Otro retardadito con el tema del país…
Asi te ha dado de mamar el madrid para soltar esto y encima decir fracasado jajaja
Como seas del barca se me van a acabar de caer las pelotas del descojone 🤣🤣🤣",1,1,1,
2076,2076.0,"Había un perro llamado ""pafuera""
Un día le gritaron ¡Adentro pafuera! Y el perro se volvió loco como yo por ti mi amor me encantas 🙊",0,0,0,
5445,,@kikemiranda76 @KarenMolina5 Ladrones.,0,0,0,5445.0
1143,,Puta dismorfia corporal 🤬🤬,1,0,0,1143.0
3021,3021.0,"Muchas lesiones no salen el mismo día, con el tiempo quedan secuelas, tampoco somos de plástico https://t.co/Kr37I9WzBl",0,0,0,
2466,,@g1_miranda Sí pasa,0,0,0,2466.0
3632,3632.0,"La 4T haciendo de las suyas:

- ¿Eres periodista, científico, estudiante, escritora, activista, policía? Ah, mira, chido tu cotorreo. 😴

- ¿Eres militar? Todo el dinero. Todo el apoyo. Todo el respeto. Serás mi nuevo todólogo del sexenio. 🤩

https://t.co/qRdw9obJUT",0,0,0,
2779,2779.0,"Pinches pelos de a llorona , pero que tal el pelaje de los michis 😏 https://t.co/w9oApzUppb",1,0,0,
2126,2126.0,@HCaballero @marthacedillo Rentería... Asael.... Cardona.... Machorro... Jake...no los conozco a todos...,0,0,0,
3768,,@im_darkgirl Obvio le sale mal y queda peor.,0,0,0,3768.0
2199,2199.0,@ilseeGmz @montseibarravc JAJAJA ay namas me avisan pa mandar hacer los recuerditos y separar el yerba 🫡,0,0,0,
5440,,"@mcastell10 malditos ladrones, ahhh y anda a Llantas Bayer en Mixco.",0,0,0,5440.0
5944,,"@CelsGenner @jtfranco20 @DiegoDidago No seas estúpido, no hace falta que los jugadores busquen faltas, hay un chingo de faltas que no se marcan porque son dentro del área, les tiembla marcar penales, pero a la ofensiva y en cualquier otra parte del campo se marca el más mínimo contacto.",1,0,1,5944.0
5354,,@ChrstianMontero Vieja confiable jaja,0,0,0,5354.0
5158,,Que bolas Alejandra. https://t.co/HWWAlUONpJ,0,0,0,5158.0
1775,,"Prioridad alta, nivel: 👍👍 https://t.co/QbsGhgvYMt",0,0,0,1775.0
3438,,"@Woshingo Mi primo pequeño que nunca nos llevamos bien porque siempre me odiaba se dio cuenta de como era su padre y me apoyó.,mi tío estaba tan enojado que no nos dejo dormir camino a casa nos amenazo a los 2 de muerte si nos dormíamos eran las 2 de la mañana y llegamos alas 6",0,0,0,3438.0
6028,,"@lopezobrador_ Callate chachalaca, que tu solo repartes migajas de todo lo que te robas.",0,1,1,6028.0
343,,@oscii_ Lo que se viene... pero que chingue su madre Halloween Ends.,1,1,0,343.0
3347,,Así o más idiota https://t.co/CA9ViRvTtp,0,0,1,3347.0
215,215.0,@alfrejimglez No me jodas...vaya bajonazo,1,0,0,
3452,3452.0,"@CamMttz @ChumelTorres Esa mentalidad de ""señoritingo"" del chumel, es lo que divide a los mexicanos, no todos tienen la oportunidad de una educación mejor y eso es lo que ""vende""",0,0,1,
3928,3928.0,@lopezobrador_ Este medio pendejo pero se le pasaba pero el mamarracho anciano de ahorita vale m.....vergüenza de cab..... https://t.co/4g3eC1mGgG,0,0,1,
4742,4742.0,@uphilcanoe TE VOY A METER UN MADRAZO HIJO DE LA CHINGADA 👹👹,1,1,1,
3954,,Blandengue de cagada!!! https://t.co/ljVWKnq3SD,0,0,1,3954.0
1217,1217.0,"@yasminahomi50 @mario_dico50 @alitomorenoc @GobiernoMX Me acuerdo que Brozo decía categórico que iba a presentar las pruebas de las preguntas sembradas, casi al principio del sexenio

Mentirosos, engañabobos",0,0,1,
3691,,"@lopezdoriga Joaquín, perdón, no pude terminar de ver el video, tanta agresión pasivo agresiva de este tipejo!
Aspiraciones, en serio, aspiraciones????",0,0,1,3691.0
443,,@EAristeguieta Más viejo ... Más bobo.,0,0,1,443.0
2366,2366.0,@OnlyCaroRamirez @prioritycarlost Melaza CARLOSYCARO EN MEDALLO,0,0,0,
3365,3365.0,"que salame darwin ,no juega contra el united ahora",1,0,1,
4533,,"@kkarla_ll @pablocr En realidad no muerden 
Depositan el huevo directamente en su tráquea",0,0,0,4533.0
5868,,@VanessaHerrer02 @lizperezleal ... ramera madre,0,0,1,5868.0
3395,3395.0,@elTotumoVerde Sancocho de conchua.,0,0,0,
5716,,@uriaschrist El electricista @_VicenteSerrano alias Vicente marrano.,0,0,0,5716.0
4108,4108.0,@karin_slowing_u Otra cabronada,1,0,0,
5517,,"@Rw263856621914 @Norys_Acosta_C PERIODISTA O NO,EL CHANTAJEABA,TERGIVERSABA Y VENDIA LA VERDAD,Y DE ESE MODO CHULEO A TODO EL MUNDO EN LOS 64 AÑOS DE SOCIALISMO QUE LLEVA VENEZUELA,EL DIABLO LO TENGA EN LA MAS CALIENTE DE LAS OLLAS,JUNTO AL PADRE DE SU NIETA,EL LADRON DE BARINAS,hugo chavez frias!!",0,0,0,5517.0
576,576.0,@AlvaroXaxo @MerBaronaM Sexualizar a niñas de 12 años es un disparate a costa de ser un carca,0,0,0,
209,209.0,Hoy termine la noche pijeando y con bajonazo de arroz con pollo,1,0,0,
5972,,"Ya expuse y no del todo al puto hipócrita de Samuel y ahora ""mi hermana"" que por ser escritora se cree inmune. Que dicen? Quieren que les cuente el chisme de todos los que conocí personalmente? Solo los que son una patada en el culo. Al ser observadora, me encuentro con muchas cosas.",1,0,1,5972.0
4199,,"Nicaragua exige Justicia por sus niñas, niños, mujeres y adolescentes asesinados por la violencia machista. 🇳🇮 PENA DE MUERTE a estos criminales. https://t.co/66Vj0JRxoZ",0,0,0,4199.0
1449,1449.0,@paoskates Muy fregón el cuadro 🤟✌️,1,0,0,
5928,,@PatoRoman_ Jaja que estupido,0,0,1,5928.0
1124,,@yolitabarrera Wey éramos 💀,0,0,0,1124.0
2813,2813.0,"Cuando cierra los ojos dice todo jajaja. Aguante la pelusa si quiere el durazno,  chiquita https://t.co/Z5l1evvoZu",0,0,0,
3856,,Playstation PSP qué tonto 😅🎮 en Mérida Yucatán https://t.co/MccOcol5hR,0,0,0,3856.0
1825,1825.0,"@proceso No tiene madre el titular de la @FGRMexico, neta. Ese CULERO PEDAZO DE MIERDA de Gertz Manero es casi lo peor que nos ha dado la transfiguración, me cae. Sólo superado por el homúnculo que lo apoya y sostiene en el cargo.

Está #DLV el país.",1,0,1,
5157,5157.0,@abrahamendieta Pelea de soplapollas!!!! @abrahamendieta Vs @lopezdoriga https://t.co/bGjVdDi6F6,1,1,1,
2421,2421.0,Que mojigato si me hablas a mí y tmb a mi amiga 🤣,0,0,0,
3998,,"@revistapolemon @lopezobrador_ No pos los ""ideales"" de Don Pendejo van a salir carísimos e inútiles para el país. De Dinamarca mejor ni hablar, verdad?",1,0,1,3998.0
899,899.0,"@ElNacionalWeb Okey Ledezma, la única condición que el Pueblo de Venezuela te pone, es que tu Yerno Andrés Izarra sea tu Ministro Plenipotenciario de Información.  Ahhhhh y lamentamos que William Izarra, Papá de Andrés haya muerto, él hubiese sido un Asesor Ideal en tu Presidencia.
¡Chupoptero! https://t.co/fCd6VCxhdZ",0,0,1,
1593,1593.0,"Hoy continuamos con LeyendasRP gentecilla , en la construccion de la casita , recoleccion de materiales y descubrimiento de lo que puede hacer un dios en el mundo terrenal, Que se note que arreglaron el internet

#LeyendasRP #Minecraft #Vtuber #VtubersUprising #Vsinger https://t.co/qh819LH2Gu",0,0,0,
1298,,"Un alumno lleva el pelo azul.Lo veo,me alegro y me acuerdo de mi hijo que tb tiene el pelo azul. 
-Mi hijo también tiene el pelo azul! Y es el más feliz!
Otro alumno, pasando por ahí, sin contexto: -El más feliz, maestra? Habla de su esposo? Yo:😅 No. Mi hijo. 
La pregunta es: +",0,0,0,1298.0
4682,4682.0,No me vayan a joder el cumpleaños vendiendo a mi Deus Case 🥺🥺🥺 @realmadrid,0,0,0,
4185,4185.0,Lo más cagado de la creadora de #Distroller es que la llevaron al hospital y Ksi-merito la salvan.,1,0,0,
1976,1976.0,"@liberalucha Para que se imaginan que compran granadas y gas lacrimógeno?                                  El que nada debe, nada teme.",0,0,0,
1971,1971.0,"@Fugitivo__ @UrsulaBethManzo Pues los software hacen las simulaciones con las combinaciones de carga de diseño. Igual unas pruebas de laboratorio de mecánica de suelos, donde te da el hundimiento diferencial a través de los años y el actuar de cargas.",0,0,0,
2522,,@diana87f Dios  permita que sucedan milagros.🙏,0,0,0,2522.0
3536,,A la gente si le gusta joder.,0,0,0,3536.0
255,,"⚫#NACIONAL | En Querétaro, una menor de 17 años fue asesinada al interior de un domicilio ubicado en el Centro Histórico de la ciudad capital | #DiariodeChiapas

https://t.co/AClKnkCKDJ",0,0,0,255.0
3664,3664.0,"@jgnaredo @_LizVilchis @PamCerdeira Profe...
A poco si...

Es tanto el apetito por un hueso de la 4a transtornacion del PNR...? 

Qué se traga tanta porquería política",0,0,0,
2655,2655.0,"@RocoRodz @jon_cabalgata @Lord_Pajarraco @AIan_Moore Desde el momento en que pones a EUA como el@bueno, se nota que no tienes criterio",0,0,0,
517,,@AndreaBathory @GhostheadNebula @KingstonLatam Soy solo un pobre muchacho,0,0,0,517.0
3667,3667.0,"@bucentauro_ En mi pueblo es conocido como la tranca y otra función que tienen es quitar los ""los palos"" para que el ganado o los caballos puedan pasar y colocarlos de nuevo para que no se vayan o se salgan del lugar donde comen o duermen. Bonito recuerdos.",0,0,0,
2660,2660.0,"@GTLiber Se necesita encontrar otros nombres para añadir a quienes se debe sustituir.
A su genial —palabreja demeritada por quienes abusan de ella— inventor, que no ha inventado nada, debería decírsele cuán ridículo es su invento y la risa resultante.",0,0,0,
4430,4430.0,Cb por una baja total de cursos te cobran un cojon vete pa’l carajo💀,1,0,0,
3169,,@DonVocero El que sale con Calderon es el mismo que siempre salia hablando del aifa?,0,0,0,3169.0
4352,4352.0,"no tengo la suerte que dicen q tengo, me he chingado un vrg y ni enterados estan, de una u otra forma cada acción y pensamiento que he tenido me han traído a donde estoy, así q no es suerte, q lo pinte bonito es otro pedo, no hay q menospreciar si no saben el esfuerzo detrás de",1,0,0,
5628,,@sagotmontse Si es un polo y charlatan ! Este tipo representa no el pueblo de este país ! Sino la ignorancia en crecimiento el mediocre que es todo logo !,0,0,1,5628.0
4860,4860.0,Y cada uno va a tener su propio concepto me voa mear,0,0,0,
367,367.0,@uyangeloo Que buen año el del buey,0,0,0,
5011,,"En un mundo ideal, deprecaron a printf",0,0,0,5011.0
4933,4933.0,"Se denomina bocina, corneta, pito o claxon a un instrumento compuesto de una pera de goma y una trompeta unidos.

Contáctanos a los teléfonos 844 410 6367 o 844 254 4934, visita: https://t.co/HRFArFETUz

#accesorios #automotrices #autopartes #herramientas #servicios #polarizado https://t.co/FK7vzrQsUS",0,0,0,
2785,,@fersch_4 Estás idiota vejestorio,0,1,1,2785.0
1072,,@GuerrSnyder JAJAJAJAAJAJAJAJ perro mañana soy más Barcelona que vos y reñazco,0,0,0,1072.0
971,,ojalá estos internos prometan porq yo no podría ver otra temporada con internos tan asqueroso como los de la temporadas pasadas,0,1,1,971.0
1465,1465.0,"@NEYmr Fritanga, delicioso.",0,0,0,
4500,,@WorldKp80085936 @dryzabicita @Nuvia_OuO Dices que la señora es estúpida?? Que no pudo tener un error??,0,0,1,4500.0
5149,5149.0,@amadavzla2004 Que es singar?? Envié varios Sinónimos pero si es lo que yo creo de eso nada 😂🤣,0,0,0,
3361,3361.0,@Rocio______0 @bft5566 @azulviceente @ThiagoCepeda11 Jajajajajajaj alto salame,0,0,0,
1173,,@Eltieso84811335 Es una puta?,1,0,1,1173.0
2743,,@liatrueba Y si el niño te sale mariposon?,0,0,0,2743.0
203,203.0,"@antoasb @BancadaCyan Bueno si dicen que Bukele es un simple bachiller y otros dicen que es un juez que deja libre a criminales, no tienen argumentos buenos para acusarlo. Es juez o es presidente pónganse claro que ya me confundieron.",0,0,0,
5169,5169.0,"@Delia23659843 @889Noticias @Claudiashein Deja lo corrupto y ratero, sino que lamentablemente no les gusta trabajar, ganarse el dinero como nos lo inculcó nuestros padres, con el sudar de la frente, ahora resulta que varios se sienten buchones, narcos, huachicoleo, es lo de hoy, huevones 🥚🥚 https://t.co/21mA52hyRo",1,0,0,
2317,2317.0,@Andreriri_ Marrano,0,0,0,
920,,"29. Paramore (802 mins, 225 streams)
Creo que es una de mis bandas favoritas últimamente, la empecé a escuchar desde el año pasado cuando pasó la polémica con Olivia Rodrigo JQJDHWHDHJA Hayley Williams te amo

Fav song: Misery Business y en general todo el álbum After Laughter https://t.co/C6kT2v0Es9",0,0,0,920.0
2548,,Que Dios me libre de volver a tu lado.,0,0,0,2548.0
2152,2152.0,@JorgeRoHe @heraldodemexico Que sinvergüenza eres; vas a ir a la cárcel por corrupción en el desarrollo inmobiliario de la Benito Juárez y hablas de desarrollo urbano; fue desarrollo de tu mafia y de tus bolsillos sin fondo.,0,0,0,
4619,4619.0,"@jaimegonzalezs8 @PatranaJos Menuda cara de de gilipollas tienes y de haberte educado a base de los billetes de tu padre, desgraciao.",1,0,1,
2146,,@sophia8710526 Entonces soy blanco wow 😱😱😱😱 y yo pensaba que era moreno por mi color de piel,0,0,0,2146.0
4390,,"@hromol73 @jgnaredo Si no sabe ni escribir, no puede releer su tuit antes de darle enviar. Le pides mucho a un subnormal que lo único que saben hacer es defender al gobierno, creerle a su mesías y tuitear estupideces.",0,0,1,4390.0
189,,Admirar a un imbécil te hace un imbécil al cuadrado.,0,0,1,189.0
3845,,"@ChaosGerardo @Dan_Lowell @HLGatell Ja! Serio? Naaa... inshi gente. ¿Entonces cuándo vas a ir por tu siguiente dosis? Te pones DOS de una vez, ¡eh! Pa' que amarre, y estés super-mega protegido. Yo siendo bien tonto y antivacunas y todo eso seguramente estaré ya muerto. 

¿Como cuánto me faltará?",0,0,1,3845.0
1952,1952.0,"Por lo tanto, ya no hay judío ni pagano, esclavo ni hombre libre, varón ni mujer, porque todos ustedes no son más que uno en Cristo Jesús. (Gálatas 3, 28)",0,0,0,
1908,1908.0,"@tismueltors65 @VictorRBOficial @emilioT72 @FrvJuan @cosmonauta23 @SergioSarmiento @lopezobrador_ Pues saltaste muy apurado. Andele, siga de izquierdoso tirandose al suelo por la tragedia. Pobrecito.",0,0,0,
3615,,@jimmym05 No lo he hecho mongolico payaso,0,0,1,3615.0
2770,2770.0,"@miseleccionmx Apuntaron lo que tienen que hacer? Pero con el Patata Macuino, lo dudo...",0,0,0,
3745,,"Me cagan las parejas que van al gimnasio, solo se la pasan de beso y haciendo el ridículo.",0,0,1,3745.0
1445,,@sars44372074 pinché gente toda pendeja estupida nalgasaguadas lameculos,1,1,1,1445.0
532,,"Falso/fake Ed(03) no se comportaba como ""chico edgy cool"" el pobre estaba en una decadencia psicológica palpable, todo lo que hacía para buscar la piedra terminaba en tragedia(Nina Hughes, Amestris..) el no quería involucrar en su mierdero a Winly y por eso siempre le ponía.... https://t.co/fZSnftumXJ https://t.co/Elx1lIDoth",0,0,0,532.0
5265,,¿Qué esperan hijos de perra? @pxndxmusic https://t.co/DYU7gbTmxC,1,0,1,5265.0
1219,,"@semaforoenambar Se les olvidó mencionar en el comunicado que debido al daño de fauna y flora y a la denuncia por parte de las persona, no tuvieron de otra que regresar al parque Avila Camacho",0,0,0,1219.0
2156,2156.0,"@RiosAnaMa @DanteCo94150246 @irmoralesl La mafia inmobiliaria PANISTA  debe ser exhibidos,y encarcelados ,y que devuelvan los deptos que se agandallaron. también sancionar a las inmobiliarias de más de 5 pisos.",0,0,0,
1821,,@El_Universal_Mx cuando sabes que te va a llevar la chingada por sidoso y despotricas a lo pendejo sabiendo que tu condición de homosexual no aportas ni madres,1,1,1,1821.0
1636,,"Datos, verificaciones y contexto del debate entre Sánchez y Núñez Feijóo en el Senado

@maldita @MalditoDato @malditobulo @maldita_ciencia @MalditaTech @Mhemeroteca @MalditaEduca @m_migracion @m_feminismo @maldito_timo 
https://t.co/hbX428qwOy",0,0,0,1636.0
295,295.0,"Bueno señor don suegro, si usted también negocio de bodorrio, esperese unos 2 años a que salga la susodicha :V",0,0,0,
2287,,"@letysav 😂😂😂 te viste muy avara, le hubieras pagado veinte pesos más a tu pinche achichincle para que le modificara también la ropa",1,0,1,2287.0
687,,"@ElErreCuatro @Leon9999_Mx @PedroFerriz Son chairos pendejos, no les exijas conectar dos neuronas.",1,0,1,687.0
102,,@PonchoGutz A que la seguridad pública actual es una mierda. Yo siento más inseguridad si veo a una patrulla pasar 3 veces fuera de mi casa a andar por la calle a las 3 de la mañana,1,0,1,102.0
1531,1531.0,"@abrahamendieta Pobre imbecil españolito, como si fueras importante, solo eres un arrastrado que ni en tubpais te quieren , gachupin de mierd@",1,1,1,
4541,4541.0,El desvergue https://t.co/k5wqBetoO7,1,0,0,
2615,,"#NoHayLímites | Cuando creas que has dado todo, mira esta imagen y esfuérzate, tú puedes con los obstáculos. 💪 

 📍  #Morelia https://t.co/8YItZ3keUT",0,0,0,2615.0
1340,1340.0,"Pedro Infante dijo que fue uno de los momentos más incómodos en su carrera 🥺👇

https://t.co/t5YAdmVu7C",0,0,0,
1898,1898.0,"@ignaciobriones_ La política es acerca de acuerdos, pero ahora parece que no les gustan?
Elegiste la carrera correcta fragmento de hombre intelectualoide?",0,0,0,
2478,2478.0,@ThePepeHero @AgusSantoro11 Y el de Moro esta bueno tambien,0,0,0,
3034,,@catrina_nortena Sobre todo mucho cerebro 😂😂😂,0,0,0,3034.0
2070,,El vuelo retrasado hora y medio ya no estuvo tan culero estando en el Lounge de la aerolínea tbh,0,0,0,2070.0
1566,1566.0,"@ElBarondemex @ChavaGlezL @TheBigLudwig Ahora el Gato de un Político es considerado un medio de información?
No pues pasamos de no tener dignidad a no tener ni cerebro.",0,0,1,
5051,,@SinLinea_Mx Y ahí está @RicardoMonrealA qué tipo!!,0,0,0,5051.0
6045,,@JosAlbertGlezS Ay tú cállate 😒,0,1,0,6045.0
4355,,La peña a la que escribes por cualquier red social y no te responde en días? Que te crees Leo Messi o algo puto subnormal?,1,0,1,4355.0
689,,"@fernandeznorona @LaydaSansores Pasarán los años y seguirán igual de pendejos... 
Buenos para nada!!!! @LaydaSansores @fernandeznorona https://t.co/SNKigmiHCa",1,0,1,689.0
4734,4734.0,"@KGR670812 @Alcaldia_Coy @GobCDMX @SSC_CDMX Buenas tardes, agradecemos su mensaje, en atención a su reporte, podría compartirnos por DM la siguiente información: CALLE, ENTRE CALLES, COLONIA, NÚMERO, LOTE Y/O MANZANA, ALCALDÍA, REFERENCIA VISUAL, CÓDIGO POSTAL, NOMBRE, TELÉFONO Y CORREO ELECTRÓNICO. AT",0,0,0,
3165,3165.0,"@_VicenteSerrano @lopezdoriga @alitomorenoc @Radio_Formula Pos es puma y le va a las chivas... 😂
Cínicos, corruptos y cobardes.
Layda nos muestra lo que ya sabíamos.
Esa ralea de pseudo periodistas. No se salva ni uno!... del ticher a la chafistegui pasando por babrozo y hasta el astillado.
Culi vendidos todos.",0,1,1,
4925,4925.0,Siiiii por fin cayó el gooooool venga venga con todo ! Liana en el lugar correcto para empujar la pelota @AmericaFemenil ya lo gana 1-0 min 60 #EstoEsAmerica 🙌🏼🙌🏼🙌🏼🦅🦅🦅,0,0,0,
2824,,"@LeonKrauze @alfredopontones Solo era golpeteo político de lo más mezquino y vil, les vale madres el país, querían ponerse ellos",1,0,1,2824.0
1080,,@rebecavazg @alexmedellin_ Wey Justo me la iba a comprar para la uni pero vi un Tik tok de un chingo de morras usándolo y ya mejor no jajaja,1,0,0,1080.0
1997,,@mariferlum Soy malo para los storytime pero deja te mando un audio.,0,0,0,1997.0
1850,,"Cuando era Ministra de la SCJN me dio clases en 2 semestre cuando yo era estudiante de Leyes. Provocado en mi respeto y admiración. Hoy como ministra en retiro y senadora me provoca repudio, asco y vergüenza. https://t.co/FHLl3BzHN4",0,0,1,1850.0
5936,,@tntsportsmex @PSG_espanol @juventusfces @TNTLA @HBOMaxLA No hay nada más estúpido que narrar un gol cuando la bola no entra,0,0,0,5936.0
6040,,"@Emilian43403078 callate emi, es sad pero d chill d chill🤙🏼",0,1,0,6040.0
673,,"@leones1s @NinosHeroes9 @KeryNews @Rayados En la de Rayados decía al extranjero con toda la intención de que fuera únicamente a europa, se les durmió por pendejos, si, pero también fue abuso de Pizarro.",1,0,1,673.0
814,,"@LaotraNata @gabrielboric @camila_vallejo @GiorgioJackson De exponer a la señora ,exponer a la señora, exponer a la señora ella es de edad avanzada para pasar por eso, vi mucho rato la transmisión y nunca de dio la cara al miserable ,nunca le dio pie ni al saludo",0,0,1,814.0
1223,1223.0,"@fernandeznorona @alitomorenoc Mejor habla de la represión y la ausencia de servicios básicos, los presos políticos, la inflación desbordada, los salarios de hambre y la corrupción del genocida @NicolasMaduro y los nexos con el narco del esbirro @dcabellor y date una vuelta por los barrios",0,0,0,
2580,2580.0,"@ccarito99 Cualquier gasto a nombre de la junta de condominio, donde se paga el IVA, de declara, y si no gasta nada también. Es un deber formal, obligatorio. Ojo. ☺️",0,0,0,
2262,,"Quienes anteponen intereses personales a los intereses del partidos, de la nación van directo  al basurero de la historia; a Monri sólo le queda brincar a  la oposición llevándose a su siniestro y hamburguesado achichincle . . . https://t.co/0Pi7IvwDeI",0,0,1,2262.0
3000,,"@Soficaaasot usted me da verguenza, tanto hate a los gatos y tiene uno, nombres",0,0,1,3000.0
1785,1785.0,"@13_Jotabe_13 @docebolboreta Me reitero en mis palabras, te falta un hervor...te cuesta pillarlas ...y si amigas con pelo Fucsia las tengo de hace muchos años, no de un mes acá como tú, abanderada de palo 😊",0,0,0,
820,,"@Parmexicable2 No sabe lo que significa DISCRECIÓN, porque de ser así entonces comprendería que no todos comparten fotos así a la primera, mayormente es la seguridad e integridad tanto de la pareja como también de su familia, desgraciadamente hay cada miserable que busca extorsionar...",0,1,1,820.0
4926,,"@doncamoteblog Ya, otro tema con eso de los abucheos jajaja es el único que lo sigue recordado.",0,0,0,4926.0
5411,,"@anabeaumonth Tribunal Constitucional. Sentencia 67/2022:
La identidad de género es una circunstancia que tiene que ver con el libre desarrollo de la personalidad, íntimamente vinculada al respeto de la dignidad humana (art. 10.1 CE)
Link BOE 4 julio 2022
https://t.co/SmBpGc7h9i",0,0,0,5411.0
127,127.0,"Hallan a hombre ahogado en arroyo, tras tromba en Apatzingán https://t.co/oJsGgKrC3R",0,0,0,
4578,,"@RoyBarreras @mincultura No debería estar mas preocupado por los niños y niñas afros o indígenas que mueren de hambre en la guajira y el choco cada diciembre, que ir de populista a pintar algo que no cambiará la realidad de esos niños? 🤡",0,0,0,4578.0
3110,3110.0,"Nada le duele más a un provinciano, que le digan provinciano.",0,0,1,
791,,@ndurancoronado @ndurancoronado la recibe el pejustra porqué ella no miserable tú comentario.,0,1,1,791.0
2567,2567.0,"@aDrM196 @JJBE27 Ohh sii tmb esa
 Y el Manantial uff novelon",0,0,0,
